Indicator Name:,"Intentional homicide victims by sex, counts and rates per 100,000 population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition:,Definitions: “Intentional Homicide” means unlawful death inflicted upon a person with the intent to cause death or serious injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total number of female/male victims of intentional homicide,,,,,,,,,,,,,,,,,,"Female/male victims of intentional homicide per 100,000 females/males",,,,,,,,,,,,,,,,
Region,Subregion,UNODC Name,Source,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Eastern Africa,Burundi,SDG,Females,,,,,,,,,,,,,,97,102,78,123,,,,,,,,,,,,,,,2,2,1.5,2.3
Africa,Eastern Africa,Burundi,SDG,Males,,,,,,,,,,,,,,423,462,383,512,,,,,,,,,,,,,,,9,9.5,7.6,9.9
Africa,Eastern Africa,Comoros,GHD Estimate,Females,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,3.7,
Africa,Eastern Africa,Comoros,GHD Estimate,Males,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,11.6,
Africa,Eastern Africa,Djibouti,GHD Estimate,Females,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,2.3,
Africa,Eastern Africa,Djibouti,GHD Estimate,Males,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,10.6,
Africa,Eastern Africa,Eritrea,GHD Estimate,Females,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,3.4,
Africa,Eastern Africa,Eritrea,GHD Estimate,Males,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,12.6,
Africa,Eastern Africa,Ethiopia,GHD Estimate,Females,,,,,,,,,,,,,,,,"1,932",,,,,,,,,,,,,,,,,,3.9,
